Index,k,QQ,x_b,t,phi_x,F,errF,F1,F2,ReH,ReE,ReHTilde
0, 2.75, 1.72395,0.355194,-0.205368,4.6426,10.4022,1.14418,0.631324,0.95597,0.631324,0.95597,0.852383
1, 2.75, 1.72395,0.355194,-0.205368,12.2379,10.158,1.11654,0.631324,0.95597,0.631324,0.95597,0.852383
2, 2.75, 1.72395,0.355194,-0.205368,24.5827,9.22548,1.01274,0.631324,0.95597,0.631324,0.95597,0.852383
3, 2.75, 1.72395,0.355194,-0.205368,37.8822,7.74295,0.852762,0.631324,0.95597,0.631324,0.95597,0.852383
4, 2.75, 1.72395,0.355194,-0.205368,44.7016,6.51672,0.71587,0.631324,0.95597,0.631324,0.95597,0.852383
5, 2.75, 1.72395,0.355194,-0.205368,52.1727,7.56232,0.832748,0.631324,0.95597,0.631324,0.95597,0.852383
6, 2.75, 1.72395,0.355194,-0.205368,69.6681,6.12349,0.6707,0.631324,0.95597,0.631324,0.95597,0.852383
7, 2.75, 1.72395,0.355194,-0.205368,71.3469,5.33995,0.586726,0.631324,0.95597,0.631324,0.95597,0.852383
8, 2.75, 1.72395,0.355194,-0.205368,84.2394,5.02968,0.553433,0.631324,0.95597,0.631324,0.95597,0.852383
9, 2.75, 1.72395,0.355194,-0.205368,101.143,4.3169,0.474285,0.631324,0.95597,0.631324,0.95597,0.852383
10, 2.75, 1.72395,0.355194,-0.205368,101.997,4.41267,0.484727,0.631324,0.95597,0.631324,0.95597,0.852383
11, 2.75, 1.72395,0.355194,-0.205368,114.479,3.56409,0.391318,0.631324,0.95597,0.631324,0.95597,0.852383
12, 2.75, 1.72395,0.355194,-0.205368,128.815,3.17327,0.34962,0.631324,0.95597,0.631324,0.95597,0.852383
13, 2.75, 1.72395,0.355194,-0.205368,132.463,4.01068,0.440167,0.631324,0.95597,0.631324,0.95597,0.852383
14, 2.75, 1.72395,0.355194,-0.205368,144.456,2.90184,0.31895,0.631324,0.95597,0.631324,0.95597,0.852383
15, 2.75, 1.72395,0.355194,-0.205368,154.24,2.84149,0.311601,0.631324,0.95597,0.631324,0.95597,0.852383
16, 2.75, 1.72395,0.355194,-0.205368,166.813,2.97216,0.325827,0.631324,0.95597,0.631324,0.95597,0.852383
17, 2.75, 1.72395,0.355194,-0.205368,172.386,3.10326,0.342585,0.631324,0.95597,0.631324,0.95597,0.852383
18, 2.75, 1.72395,0.355194,-0.205368,182.482,2.919,0.321469,0.631324,0.95597,0.631324,0.95597,0.852383
19, 2.75, 1.72395,0.355194,-0.205368,197.919,2.73154,0.300039,0.631324,0.95597,0.631324,0.95597,0.852383
20, 2.75, 1.72395,0.355194,-0.205368,213.172,2.88713,0.316944,0.631324,0.95597,0.631324,0.95597,0.852383
21, 2.75, 1.72395,0.355194,-0.205368,214.201,2.97767,0.328077,0.631324,0.95597,0.631324,0.95597,0.852383
22, 2.75, 1.72395,0.355194,-0.205368,219.35,2.78674,0.306113,0.631324,0.95597,0.631324,0.95597,0.852383
23, 2.75, 1.72395,0.355194,-0.205368,238.439,4.1046,0.450537,0.631324,0.95597,0.631324,0.95597,0.852383
24, 2.75, 1.72395,0.355194,-0.205368,248.361,3.94695,0.434289,0.631324,0.95597,0.631324,0.95597,0.852383
25, 2.75, 1.72395,0.355194,-0.205368,259.22,4.54543,0.498996,0.631324,0.95597,0.631324,0.95597,0.852383
26, 2.75, 1.72395,0.355194,-0.205368,266.463,5.14683,0.565826,0.631324,0.95597,0.631324,0.95597,0.852383
27, 2.75, 1.72395,0.355194,-0.205368,273.845,4.48902,0.493473,0.631324,0.95597,0.631324,0.95597,0.852383
28, 2.75, 1.72395,0.355194,-0.205368,281.231,4.61239,0.505069,0.631324,0.95597,0.631324,0.95597,0.852383
29, 2.75, 1.72395,0.355194,-0.205368,299.277,6.56501,0.722425,0.631324,0.95597,0.631324,0.95597,0.852383
30, 2.75, 1.72395,0.355194,-0.205368,302.385,6.99045,0.769537,0.631324,0.95597,0.631324,0.95597,0.852383
31, 2.75, 1.72395,0.355194,-0.205368,312.004,8.22288,0.905288,0.631324,0.95597,0.631324,0.95597,0.852383
32, 2.75, 1.72395,0.355194,-0.205368,322.934,8.01969,0.883461,0.631324,0.95597,0.631324,0.95597,0.852383
33, 2.75, 1.72395,0.355194,-0.205368,327.857,9.41617,1.03766,0.631324,0.95597,0.631324,0.95597,0.852383
34, 2.75, 1.72395,0.355194,-0.205368,348.425,9.57677,1.05442,0.631324,0.95597,0.631324,0.95597,0.852383
35, 2.75, 1.72395,0.355194,-0.205368,350.317,8.72735,0.95949,0.631324,0.95597,0.631324,0.95597,0.852383
0, 2.75, 1.74013,0.435095,-0.380868,3.89403,1.52947,0.1688,0.505418,0.700131,0.505418,0.700131,0.694064
1, 2.75, 1.74013,0.435095,-0.380868,19.8918,1.10101,0.1213,0.505418,0.700131,0.505418,0.700131,0.694064
2, 2.75, 1.74013,0.435095,-0.380868,26.982,0.943721,0.101925,0.505418,0.700131,0.505418,0.700131,0.694064
3, 2.75, 1.74013,0.435095,-0.380868,36.2912,0.537413,0.0591647,0.505418,0.700131,0.505418,0.700131,0.694064
4, 2.75, 1.74013,0.435095,-0.380868,43.3179,0.589157,0.0653363,0.505418,0.700131,0.505418,0.700131,0.694064
5, 2.75, 1.74013,0.435095,-0.380868,54.6188,0.338474,0.0367154,0.505418,0.700131,0.505418,0.700131,0.694064
6, 2.75, 1.74013,0.435095,-0.380868,63.0519,0.308276,0.0340541,0.505418,0.700131,0.505418,0.700131,0.694064
7, 2.75, 1.74013,0.435095,-0.380868,74.2755,0.269255,0.0300149,0.505418,0.700131,0.505418,0.700131,0.694064
8, 2.75, 1.74013,0.435095,-0.380868,83.7619,0.206696,0.0231881,0.505418,0.700131,0.505418,0.700131,0.694064
9, 2.75, 1.74013,0.435095,-0.380868,96.448,0.159423,0.0182823,0.505418,0.700131,0.505418,0.700131,0.694064
10, 2.75, 1.74013,0.435095,-0.380868,103.657,0.115188,0.012622,0.505418,0.700131,0.505418,0.700131,0.694064
11, 2.75, 1.74013,0.435095,-0.380868,115.758,0.132845,0.0151907,0.505418,0.700131,0.505418,0.700131,0.694064
12, 2.75, 1.74013,0.435095,-0.380868,124.602,0.0971464,0.0104522,0.505418,0.700131,0.505418,0.700131,0.694064
13, 2.75, 1.74013,0.435095,-0.380868,131.823,0.112864,0.0126713,0.505418,0.700131,0.505418,0.700131,0.694064
14, 2.75, 1.74013,0.435095,-0.380868,142.812,0.0995281,0.00987171,0.505418,0.700131,0.505418,0.700131,0.694064
15, 2.75, 1.74013,0.435095,-0.380868,152.443,0.0911661,0.010079,0.505418,0.700131,0.505418,0.700131,0.694064
16, 2.75, 1.74013,0.435095,-0.380868,165.612,0.0958014,0.0117112,0.505418,0.700131,0.505418,0.700131,0.694064
17, 2.75, 1.74013,0.435095,-0.380868,174.226,0.0837616,0.00999415,0.505418,0.700131,0.505418,0.700131,0.694064
18, 2.75, 1.74013,0.435095,-0.380868,186.832,0.0965977,0.0117191,0.505418,0.700131,0.505418,0.700131,0.694064
19, 2.75, 1.74013,0.435095,-0.380868,190.629,0.0862675,0.00941409,0.505418,0.700131,0.505418,0.700131,0.694064
20, 2.75, 1.74013,0.435095,-0.380868,209.631,0.0896779,0.0087831,0.505418,0.700131,0.505418,0.700131,0.694064
21, 2.75, 1.74013,0.435095,-0.380868,211.828,0.0949692,0.0100319,0.505418,0.700131,0.505418,0.700131,0.694064
22, 2.75, 1.74013,0.435095,-0.380868,232.363,0.10972,0.0121719,0.505418,0.700131,0.505418,0.700131,0.694064
23, 2.75, 1.74013,0.435095,-0.380868,239.819,0.111494,0.0122696,0.505418,0.700131,0.505418,0.700131,0.694064
24, 2.75, 1.74013,0.435095,-0.380868,245.518,0.107666,0.0115317,0.505418,0.700131,0.505418,0.700131,0.694064
25, 2.75, 1.74013,0.435095,-0.380868,255.175,0.161198,0.018387,0.505418,0.700131,0.505418,0.700131,0.694064
26, 2.75, 1.74013,0.435095,-0.380868,260.826,0.168696,0.0189202,0.505418,0.700131,0.505418,0.700131,0.694064
27, 2.75, 1.74013,0.435095,-0.380868,273.758,0.174565,0.0204608,0.505418,0.700131,0.505418,0.700131,0.694064
28, 2.75, 1.74013,0.435095,-0.380868,283.192,0.21739,0.0239386,0.505418,0.700131,0.505418,0.700131,0.694064
29, 2.75, 1.74013,0.435095,-0.380868,290.732,0.282084,0.0313891,0.505418,0.700131,0.505418,0.700131,0.694064
30, 2.75, 1.74013,0.435095,-0.380868,303.655,0.388756,0.0425176,0.505418,0.700131,0.505418,0.700131,0.694064
31, 2.75, 1.74013,0.435095,-0.380868,315.064,0.534761,0.0579378,0.505418,0.700131,0.505418,0.700131,0.694064
32, 2.75, 1.74013,0.435095,-0.380868,320.845,0.49763,0.0542416,0.505418,0.700131,0.505418,0.700131,0.694064
33, 2.75, 1.74013,0.435095,-0.380868,334.416,0.933009,0.104409,0.505418,0.700131,0.505418,0.700131,0.694064
34, 2.75, 1.74013,0.435095,-0.380868,345.779,1.66823,0.184393,0.505418,0.700131,0.505418,0.700131,0.694064
35, 2.75, 1.74013,0.435095,-0.380868,351.1,1.40759,0.154616,0.505418,0.700131,0.505418,0.700131,0.694064
0, 2.75, 2.07387,0.436939,-0.291599,0.596535,77.2725,8.5006,0.505418,0.700131,0.505418,0.700131,0.694064
1, 2.75, 2.07387,0.436939,-0.291599,16.3608,21.215,2.33555,0.505418,0.700131,0.505418,0.700131,0.694064
2, 2.75, 2.07387,0.436939,-0.291599,22.1092,13.9393,1.53459,0.505418,0.700131,0.505418,0.700131,0.694064
3, 2.75, 2.07387,0.436939,-0.291599,37.1399,4.92656,0.542859,0.505418,0.700131,0.505418,0.700131,0.694064
4, 2.75, 2.07387,0.436939,-0.291599,50.6822,2.69379,0.297255,0.505418,0.700131,0.505418,0.700131,0.694064
