Index,k,QQ,x_b,t,phi_x,F,errF,F1,F2,ReH,ReE,ReHTilde
0, 2.75, 1.72395,0.355194,-0.16996,4.6426,60.6148,6.66757,0.677287,1.0538,0.677287,1.0538,0.908049
1, 2.75, 1.72395,0.355194,-0.16996,8.23794,58.9866,6.48769,0.677287,1.0538,0.677287,1.0538,0.908049
2, 2.75, 1.72395,0.355194,-0.16996,16.5827,51.7309,5.68834,0.677287,1.0538,0.677287,1.0538,0.908049
3, 2.75, 1.72395,0.355194,-0.16996,25.8822,40.9736,4.50813,0.677287,1.0538,0.677287,1.0538,0.908049
4, 2.75, 1.72395,0.355194,-0.16996,28.7016,34.9528,3.84384,0.677287,1.0538,0.677287,1.0538,0.908049
5, 2.75, 1.72395,0.355194,-0.16996,32.1727,40.867,4.49627,0.677287,1.0538,0.677287,1.0538,0.908049
6, 2.75, 1.72395,0.355194,-0.16996,45.6681,29.6087,3.25407,0.677287,1.0538,0.677287,1.0538,0.908049
7, 2.75, 1.72395,0.355194,-0.16996,43.3469,27.788,3.05601,0.677287,1.0538,0.677287,1.0538,0.908049
8, 2.75, 1.72395,0.355194,-0.16996,52.2394,24.6138,2.70768,0.677287,1.0538,0.677287,1.0538,0.908049
9, 2.75, 1.72395,0.355194,-0.16996,65.143,18.9983,2.08924,0.677287,1.0538,0.677287,1.0538,0.908049
10, 2.75, 1.72395,0.355194,-0.16996,61.9967,20.8137,2.28884,0.677287,1.0538,0.677287,1.0538,0.908049
11, 2.75, 1.72395,0.355194,-0.16996,70.4787,15.7691,1.73386,0.677287,1.0538,0.677287,1.0538,0.908049
12, 2.75, 1.72395,0.355194,-0.16996,80.8149,12.8932,1.41881,0.677287,1.0538,0.677287,1.0538,0.908049
13, 2.75, 1.72395,0.355194,-0.16996,80.4632,16.7091,1.837,0.677287,1.0538,0.677287,1.0538,0.908049
14, 2.75, 1.72395,0.355194,-0.16996,88.4559,11.2982,1.24255,0.677287,1.0538,0.677287,1.0538,0.908049
15, 2.75, 1.72395,0.355194,-0.16996,94.2397,10.5488,1.15941,0.677287,1.0538,0.677287,1.0538,0.908049
16, 2.75, 1.72395,0.355194,-0.16996,102.813,10.1854,1.11929,0.677287,1.0538,0.677287,1.0538,0.908049
17, 2.75, 1.72395,0.355194,-0.16996,104.386,10.5096,1.15728,0.677287,1.0538,0.677287,1.0538,0.908049
18, 2.75, 1.72395,0.355194,-0.16996,110.482,9.28582,1.02182,0.677287,1.0538,0.677287,1.0538,0.908049
19, 2.75, 1.72395,0.355194,-0.16996,121.919,7.69267,0.845763,0.677287,1.0538,0.677287,1.0538,0.908049
20, 2.75, 1.72395,0.355194,-0.16996,133.172,7.18114,0.789285,0.677287,1.0538,0.677287,1.0538,0.908049
21, 2.75, 1.72395,0.355194,-0.16996,130.201,7.52765,0.828575,0.677287,1.0538,0.677287,1.0538,0.908049
22, 2.75, 1.72395,0.355194,-0.16996,131.35,6.8496,0.753028,0.677287,1.0538,0.677287,1.0538,0.908049
23, 2.75, 1.72395,0.355194,-0.16996,146.439,8.37725,0.920528,0.677287,1.0538,0.677287,1.0538,0.908049
24, 2.75, 1.72395,0.355194,-0.16996,152.361,7.33975,0.807498,0.677287,1.0538,0.677287,1.0538,0.908049
25, 2.75, 1.72395,0.355194,-0.16996,159.22,7.57188,0.831906,0.677287,1.0538,0.677287,1.0538,0.908049
26, 2.75, 1.72395,0.355194,-0.16996,162.463,7.96164,0.875454,0.677287,1.0538,0.677287,1.0538,0.908049
27, 2.75, 1.72395,0.355194,-0.16996,165.845,6.41116,0.704907,0.677287,1.0538,0.677287,1.0538,0.908049
28, 2.75, 1.72395,0.355194,-0.16996,169.231,6.05875,0.664168,0.677287,1.0538,0.677287,1.0538,0.908049
29, 2.75, 1.72395,0.355194,-0.16996,183.277,6.95519,0.765345,0.677287,1.0538,0.677287,1.0538,0.908049
30, 2.75, 1.72395,0.355194,-0.16996,182.385,7.13179,0.785085,0.677287,1.0538,0.677287,1.0538,0.908049
31, 2.75, 1.72395,0.355194,-0.16996,188.004,7.50092,0.825872,0.677287,1.0538,0.677287,1.0538,0.908049
32, 2.75, 1.72395,0.355194,-0.16996,194.934,6.51789,0.718263,0.677287,1.0538,0.677287,1.0538,0.908049
33, 2.75, 1.72395,0.355194,-0.16996,195.857,7.27731,0.802385,0.677287,1.0538,0.677287,1.0538,0.908049
34, 2.75, 1.72395,0.355194,-0.16996,212.425,6.66891,0.734556,0.677287,1.0538,0.677287,1.0538,0.908049
35, 2.75, 1.72395,0.355194,-0.16996,210.317,5.97625,0.65687,0.677287,1.0538,0.677287,1.0538,0.908049
36, 2.75, 1.72395,0.355194,-0.16996,220.036,6.84675,0.754166,0.677287,1.0538,0.677287,1.0538,0.908049
