Index,k,QQ,x_b,t,phi_x,F,errF,F1,F2,ReH,ReE,ReHTilde
0, 2.75, 1.72395,0.355194,-0.205368,4.6426,10.4022,1.14418,0.631324,0.95597,0.631324,0.95597,0.852383
1, 2.75, 1.72395,0.355194,-0.205368,8.23794,10.322,1.13459,0.631324,0.95597,0.631324,0.95597,0.852383
2, 2.75, 1.72395,0.355194,-0.205368,16.5827,9.79176,1.07503,0.631324,0.95597,0.631324,0.95597,0.852383
3, 2.75, 1.72395,0.355194,-0.205368,25.8822,8.74014,0.962453,0.631324,0.95597,0.631324,0.95597,0.852383
4, 2.75, 1.72395,0.355194,-0.205368,28.7016,7.74884,0.851403,0.631324,0.95597,0.631324,0.95597,0.852383
5, 2.75, 1.72395,0.355194,-0.205368,32.1727,9.49877,1.04576,0.631324,0.95597,0.631324,0.95597,0.852383
6, 2.75, 1.72395,0.355194,-0.205368,45.6681,8.15428,0.894087,0.631324,0.95597,0.631324,0.95597,0.852383
7, 2.75, 1.72395,0.355194,-0.205368,43.3469,7.44972,0.818801,0.631324,0.95597,0.631324,0.95597,0.852383
8, 2.75, 1.72395,0.355194,-0.205368,52.2394,7.27158,0.800042,0.631324,0.95597,0.631324,0.95597,0.852383
9, 2.75, 1.72395,0.355194,-0.205368,65.143,6.28187,0.690433,0.631324,0.95597,0.631324,0.95597,0.852383
10, 2.75, 1.72395,0.355194,-0.205368,61.9967,6.71519,0.738004,0.631324,0.95597,0.631324,0.95597,0.852383
11, 2.75, 1.72395,0.355194,-0.205368,70.4787,5.41486,0.594904,0.631324,0.95597,0.631324,0.95597,0.852383
12, 2.75, 1.72395,0.355194,-0.205368,80.8149,4.70565,0.518182,0.631324,0.95597,0.631324,0.95597,0.852383
13, 2.75, 1.72395,0.355194,-0.205368,80.4632,6.08718,0.668581,0.631324,0.95597,0.631324,0.95597,0.852383
14, 2.75, 1.72395,0.355194,-0.205368,88.4559,4.27624,0.470134,0.631324,0.95597,0.631324,0.95597,0.852383
15, 2.75, 1.72395,0.355194,-0.205368,94.2397,4.08737,0.448648,0.631324,0.95597,0.631324,0.95597,0.852383
16, 2.75, 1.72395,0.355194,-0.205368,102.813,4.06404,0.445934,0.631324,0.95597,0.631324,0.95597,0.852383
17, 2.75, 1.72395,0.355194,-0.205368,104.386,4.2134,0.464701,0.631324,0.95597,0.631324,0.95597,0.852383
18, 2.75, 1.72395,0.355194,-0.205368,110.482,3.78604,0.416844,0.631324,0.95597,0.631324,0.95597,0.852383
19, 2.75, 1.72395,0.355194,-0.205368,121.919,3.21787,0.353535,0.631324,0.95597,0.631324,0.95597,0.852383
20, 2.75, 1.72395,0.355194,-0.205368,133.172,3.06129,0.336102,0.631324,0.95597,0.631324,0.95597,0.852383
21, 2.75, 1.72395,0.355194,-0.205368,130.201,3.19472,0.351952,0.631324,0.95597,0.631324,0.95597,0.852383
22, 2.75, 1.72395,0.355194,-0.205368,131.35,2.9121,0.319903,0.631324,0.95597,0.631324,0.95597,0.852383
23, 2.75, 1.72395,0.355194,-0.205368,146.439,3.62827,0.398141,0.631324,0.95597,0.631324,0.95597,0.852383
24, 2.75, 1.72395,0.355194,-0.205368,152.361,3.1953,0.351608,0.631324,0.95597,0.631324,0.95597,0.852383
25, 2.75, 1.72395,0.355194,-0.205368,159.22,3.31158,0.363273,0.631324,0.95597,0.631324,0.95597,0.852383
26, 2.75, 1.72395,0.355194,-0.205368,162.463,3.48796,0.38335,0.631324,0.95597,0.631324,0.95597,0.852383
27, 2.75, 1.72395,0.355194,-0.205368,165.845,2.81279,0.309087,0.631324,0.95597,0.631324,0.95597,0.852383
28, 2.75, 1.72395,0.355194,-0.205368,169.231,2.66121,0.290438,0.631324,0.95597,0.631324,0.95597,0.852383
29, 2.75, 1.72395,0.355194,-0.205368,183.277,3.05926,0.336793,0.631324,0.95597,0.631324,0.95597,0.852383
30, 2.75, 1.72395,0.355194,-0.205368,182.385,3.13715,0.345675,0.631324,0.95597,0.631324,0.95597,0.852383
31, 2.75, 1.72395,0.355194,-0.205368,188.004,3.29695,0.363435,0.631324,0.95597,0.631324,0.95597,0.852383
32, 2.75, 1.72395,0.355194,-0.205368,194.934,2.85874,0.315757,0.631324,0.95597,0.631324,0.95597,0.852383
33, 2.75, 1.72395,0.355194,-0.205368,195.857,3.19059,0.352846,0.631324,0.95597,0.631324,0.95597,0.852383
34, 2.75, 1.72395,0.355194,-0.205368,212.425,2.89147,0.319038,0.631324,0.95597,0.631324,0.95597,0.852383
35, 2.75, 1.72395,0.355194,-0.205368,210.317,2.59603,0.285045,0.631324,0.95597,0.631324,0.95597,0.852383
36, 2.75, 1.72395,0.355194,-0.205368,220.036,2.94487,0.324959,0.631324,0.95597,0.631324,0.95597,0.852383
37, 2.75, 1.72395,0.355194,-0.205368,227.1,3.59544,0.395339,0.631324,0.95597,0.631324,0.95597,0.852383
38, 2.75, 1.72395,0.355194,-0.205368,230.331,3.69179,0.407005,0.631324,0.95597,0.631324,0.95597,0.852383
