layers, learning_rate, regularization_rate, F_error_scaling, iterations, batch_size, rmse_val, fin_eval_cost, fin_training_cost, filen
6 12 3 ,0.025,0.1,0.04,400,5,0.101144346359474,2.42400755998577E-05,1.18222505134104E-05, saved_network2.txt
6 12 3 ,0.025,0.1,0.04,1300,5,0.101420477955269,1.33451897173558E-05,8.61031795842625E-06, saved_network3.txt
6 12 3 ,0.035,0.15,0.04,1300,5,0.100454652018472,3.45719909267196E-05,1.39462550111691E-05, saved_network4..txt
6 12 3 ,0.025,0.1,0.04,1300,10,0.100610588867462,2.68502499229457E-05,1.21660664915619E-05, saved_network5.txt
6 12 3 ,0.025,0.1,0.04,1300,2,0.10012314164214,2.03782231691027E-06,5.43269477240785E-06, saved_network6.txt
6 12 3 ,0.025,0.1,0.06,1400,10,0.100875726176433,6.49260001113982E-05,2.2279793181628E-05, saved_network7.txt
6 12 3 ,0.025,0.18,0.03,1400,5,0.100936358156938,5.40772920260656E-05,1.95183073938209E-05, saved_network8.txt
6 12 3 ,0.025,0.18, [[0.03];  [0.03];  [0.08]] ,1400,5,0.006495726914891,5.01113888993501E-05,1.82147292916285E-05, saved_network9.txt
6 12 3 ,0.03,0.1, [[0.03];  [0.03];  [0.12]] ,1400,5,0.006338256002254,0.000257249992624,7.21839007529551E-05, saved_network10.txt
6 12 3 ,0.03,0.1, [[0.03];  [0.03];  [0.11]] ,2200,5,0.006270495153123,0.001192747551836,0.00031490140796, saved_network11.txt
6 12 3 ,0.03,0.1, [[0.03];  [0.03];  [0.09]],1800,6,0.006520286974149,0.000250390589942,7.09446294730826E-05, saved_network12.txt
6 12 3 ,0.025,0.1, [[0.03];  [0.03];  [0.09]] ,2500,6,0.006466613590476,5.74208777818812E-05,1.96149860162061E-05, saved_network13.txt
6 12 3 ,0.025,0.12, [[0.03]; [0.03];[0.11]],1500,4,0.006524050404336,4.3653717452386E-05,1.62500044411468E-05, saved_network13.txt
6 12 3 ,0.025,0.12, [[0.03];  [0.03];  [0.11]] ,2200,4,0.006379993768181,3.626812849474E-06,6.22846970672416E-06, saved_network14.txt
6 12 3 ,0.025,0.12, [[0.03];  [0.03];  [0.09]] ,2400,4,0.006274764918825,0.000108033880674,3.35843637571776E-05, saved_network15.txt
4 12 3 ,0.015,0.12, [[0.01]; [0.01]; [0.01]],20,4,0.081117861634188,1.4264598871753,17.6483233104655, saved-v2-1.txt
4 12 3 ,0.015,0.12, [[0.01]; [0.01]; [0.01]],20,4,0.082344195297738,1.51400433334906,18.8209771720746, saved-v2-2.txt
4 20 10 3 ,0.015,0.12, [[0.01]; [0.01]; [0.01]],500,4,0.078803434796889,1.33509105703451,19.9131341504491, saved-v2-3.txt
4 20 10 3 ,0.025,0.12, [[0.03];  [0.03];  [0.03]] ,400,2,0.077645564825806,1.27862798662477,15.2175626251151, saved-v2-4.txt
5 20 3 ,0.01,0.12, [[0.008]; [0.008] ; [0.008]] ,220,5,1.08711755478227,0.000186833791431,3.10650391383094, saved-v4-1.txt
5 20 3 ,0.025,0.12, [[0.008]; [0.008] ; [0.008]] ,220,5,0.00211470827181,2.01344770026151,2.01204270103365, saved-v5-2.txt
5 20 3 ,0.025,0.12, [[0.008]; [0.008] ; [0.008]] ,220,5,0.001797385139715,2.0114635743102,2.01124991608033, saved-v5-3.txt
5 20 3 ,0.025,0.12, [[0.008]; [0.008] ; [0.008]] ,220,5,0.003194400144327,1.53883232576763,1.54341700180499, saved-v5-1.txt
5 20 10 3 ,0.08,0.12, [[0.008]; [0.008] ; [0.008]] ,500,10,0.002799176294232,1.53284693257847,1.53960089103807, saved-v5-5.txt
5 20 10 3 ,0.05,0.12, [[0.008]; [0.008] ; [0.008]] ,500,20,0.002690112328103,1.51426460483675,1.52837153413755, saved-v5-6.txt
5 20 10 3 ,0.1,0.01, [[0.008]; [0.008] ; [0.008]] ,250,20,0.004468859738095,1.50498481581247,1.55920103998089, saved-v5-7.txt
5 20 10 3 ,0.06,0.01, [[0.008]; [0.008] ; [0.008]] ,450,5,0.002056605103171,1.521532173315,1.52975580764002, saved-v5-7.txt
4 20 10 3 , 0.06, 0.01, [0.008] [0.008] [0.008] , 450, 5, 0.0034564375971870673, 1.5267369671925473, 1.520012656883454, saved-v6-12.txt
4 20 10 3 , 0.06, 0.01, [0.008] [0.008] [0.008] , 220, 5, 0.0039033365155473677, 1.571902593884859, 1.524090426705082, saved-v7-1.txt
4 40 3 , 0.06, 0.01, [0.008] [0.008] [0.008] , 220, 5, 0.004515697615499997, 1.56203749191904, 1.5139913721537948, saved-v7-2.txt
4 30 20 3 , 0.06, 0.01, [0.008] [0.008] [0.008] , 220, 5, 0.0040095643998400805, 1.5697930242566478, 1.525889714034844, saved-v7-3.txt
4 20 3 , 0.06, 0.01, [0.008] [0.008] [0.008] , 300, 10, 0.004314070041089308, 1.554189660010166, 1.5219440861255151, saved-v7-4.txt
4 20 3 , 0.08, 0.05, [0.008] [0.008] [0.008] , 300, 10, 0.005555594267794633, 1.5980677961159946, 1.5320916458201552, saved-v7-5.txt
